leaves	direc.	knots	length	width  
11	3	3	20.6	2.1
8	1	1	7.5	1.5
3	1	1	3.6	3
5	2	1	12.1	2
8	1	1	8.4	1.1
6	2	1	3.5	1
1	1	1	2	0.8
2	1	1	2.5	0.4
2	2	1	2.6	1.3
9	2	1	4.7	1.8
9	4	5	14.5	1.1
5	1	1	5.5	1.4
3	1	1	3.2	0.4
12	2	2	4.6	0.9
2	1	1	1.3	1
7	3	1	5.3	1.1
2	1	1	2.6	0.4
3	1	1	1.5	1.1
11	2	1	7.3	1.6
5	2	2	4.2	2.5
16	4	4	22	2
6	2	1	4.9	0.6
10	3	2	3.1	0.5
4	1	1	5	1
9	2	3	9.6	2.3
6	1	1	5.5	3
8	1	1	4.5	0.7
2	1	1	6.5	0.8
2	1	1	3.4	0.6
7	1	1	1.6	0.4
10	1	1	3.4	1.5
11	1	1	5.5	2
3	1	1	4	1
7	2	1	5	0.9
9	1	1	4.5	1.6
8	2	1	6.5	0.3
9	1	1	3.5	1.7
5	2	1	2.3	0.7
5	1	1	3.7	2.3
3	1	1	2.6	1.4
3	1	1	2.2	0.9
13	2	2	20	1.3
2	1	1	1.5	0.6
4	1	1	3.6	0.6
